vacancy-name,salary,link
Программист 1С,,https://rostov.hh.ru/vacancy/28548651?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Backend PHP Developer,,https://rostov.hh.ru/vacancy/28973845?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
PHP-программист (разработчик) YII/Битрикс(Bitrix),от 56 000 руб.,https://rostov.hh.ru/vacancy/28905764?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С,,https://rostov.hh.ru/vacancy/27680585?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Java программист (стажер),,https://career.ru/vacancy/25322205?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
C#/.NET Developer,55 000-80 000 руб.,https://rostov.hh.ru/vacancy/28956683?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Senior PHP developer (PHP-разработчик),,https://rostov.hh.ru/vacancy/28948924?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
IOS developer,,https://rostov.hh.ru/vacancy/28748389?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С,до 60 000 руб.,https://rostov.hh.ru/vacancy/27490999?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Ruby on Rails backend developer / программист-разработчик,от 80 000 руб.,https://rostov.hh.ru/vacancy/28682354?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист,,https://rostov.hh.ru/vacancy/26377729?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист C#,50 000-70 000 руб.,https://rostov.hh.ru/vacancy/28893684?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист 1С стажёр,25 000-45 000 руб.,https://rostov.hh.ru/vacancy/28827664?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Ведущий программист,,https://rostov.hh.ru/vacancy/28203097?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик ERP-системы (MS Axapta),30 000-100 000 руб.,https://rostov.hh.ru/vacancy/26304518?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
PHP-программист,30 000-50 000 руб.,https://rostov.hh.ru/vacancy/27936072?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист SQL,,https://rostov.hh.ru/vacancy/28881513?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист PHP,30 000-60 000 руб.,https://rostov.hh.ru/vacancy/28893769?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Программист Python (Middle/Senior),от 120 000 руб.,https://rostov.hh.ru/vacancy/28921888?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик Directum,,https://rostov.hh.ru/vacancy/26298185?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Senior PHP (partially Python) Developer,,https://rostov.hh.ru/vacancy/28955536?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
Разработчик систем видеоаналитики,,https://rostov.hh.ru/vacancy/28360328?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82
